# U I
0.000000000000000000e+00 1.000000000000000000e+01
1.010101010101010083e-01 9.039239022952823888e+00
2.020202020202020166e-01 8.170784211407314146e+00
3.030303030303030387e-01 7.385767149187980607e+00
4.040404040404040331e-01 6.676171462938302881e+00
5.050505050505050830e-01 6.034750961171595485e+00
6.060606060606060774e-01 5.454955638202434898e+00
7.070707070707070718e-01 4.930864787331597832e+00
8.080808080808080662e-01 4.457126540255176295e+00
9.090909090909090606e-01 4.028903215291330220e+00
1.010101010101010166e+00 3.641821916336149378e+00
1.111111111111111160e+00 3.291929878079055793e+00
1.212121212121212155e+00 2.975654101475653235e+00
1.313131313131313149e+00 2.689764867286835059e+00
1.414141414141414144e+00 2.431342755094668462e+00
1.515151515151515138e+00 2.197748831002535930e+00
1.616161616161616132e+00 1.986597699584707666e+00
1.717171717171717127e+00 1.795733144899440248e+00
1.818181818181818121e+00 1.623206111818481734e+00
1.919191919191919116e+00 1.467254802824514703e+00
2.020202020202020332e+00 1.326286687030630240e+00
2.121212121212121104e+00 1.198862237703009370e+00
2.222222222222222321e+00 1.083680232218958484e+00
2.323232323232323093e+00 9.795644643476192348e-01
2.424242424242424310e+00 8.854517331628877219e-01
2.525252525252525082e+00 8.003809859347188471e-01
2.626262626262626299e+00 7.234835041290565982e-01
2.727272727272727071e+00 6.539740322986020704e-01
2.828282828282828287e+00 5.911427592751332671e-01
2.929292929292929060e+00 5.343480697775794264e-01
3.030303030303030276e+00 4.830099924173013592e-01
3.131313131313131048e+00 4.366042771934618982e-01
3.232323232323232265e+00 3.946570419995251711e-01
3.333333333333333481e+00 3.567399334725239735e-01
3.434343434343434254e+00 3.224657527690433234e-01
3.535353535353535470e+00 2.914845015995793931e-01
3.636363636363636243e+00 2.634798081444873485e-01
3.737373737373737459e+00 2.381656963539773020e-01
3.838383838383838231e+00 2.152836656411605265e-01
3.939393939393939448e+00 1.946000511467906036e-01
4.040404040404040664e+00 1.759036376194684781e-01
4.141414141414140992e+00 1.590035025449253181e-01
4.242424242424242209e+00 1.437270664990267233e-01
4.343434343434343425e+00 1.299183308152537797e-01
4.444444444444444642e+00 1.174362845702136005e-01
4.545454545454544970e+00 1.061534646197668241e-01
4.646464646464646187e+00 9.595465398126382106e-02
4.747474747474747403e+00 8.673570527013751974e-02
4.848484848484848619e+00 7.840247717611618927e-02
4.949494949494949836e+00 7.086987311865174111e-02
5.050505050505050164e+00 6.406097226458326577e-02
5.151515151515151381e+00 5.790624403423195315e-02
5.252525252525252597e+00 5.234283807468585736e-02
5.353535353535353813e+00 4.731394244968011725e-02
5.454545454545454142e+00 4.276820349208929756e-02
5.555555555555555358e+00 3.865920139472807382e-02
5.656565656565656575e+00 3.494497618434182218e-02
5.757575757575757791e+00 3.158759923816596010e-02
5.858585858585858119e+00 2.855278596750248851e-02
5.959595959595959336e+00 2.580954571314682602e-02
6.060606060606060552e+00 2.332986527749614930e-02
6.161616161616161769e+00 2.108842286165752561e-02
6.262626262626262097e+00 1.906232948636253297e-02
6.363636363636363313e+00 1.723089525615124559e-02
6.464646464646464530e+00 1.557541807998149945e-02
6.565656565656565746e+00 1.407899269073737032e-02
6.666666666666666963e+00 1.272633801339807802e-02
6.767676767676767291e+00 1.150364111899959164e-02
6.868686868686868507e+00 1.039841617089058007e-02
6.969696969696969724e+00 9.399376922881778895e-03
7.070707070707070940e+00 8.496321467275519748e-03
7.171717171717171269e+00 7.680028055854873012e-03
7.272727272727272485e+00 6.942160929985586974e-03
7.373737373737373701e+00 6.275185198194416572e-03
7.474747474747474918e+00 5.672289891977492365e-03
7.575757575757575246e+00 5.127318414106384233e-03
7.676767676767676463e+00 4.634705669189500069e-03
7.777777777777777679e+00 4.189421234483840795e-03
7.878787878787878896e+00 3.786917990633352146e-03
7.979797979797979224e+00 3.423085687765511833e-03
8.080808080808081328e+00 3.094208972776128948e-03
8.181818181818181657e+00 2.796929449188877582e-03
8.282828282828281985e+00 2.528211382155406972e-03
8.383838383838384090e+00 2.285310698385262414e-03
8.484848484848484418e+00 2.065746964441565053e-03
8.585858585858586522e+00 1.867278057252651615e-03
8.686868686868686851e+00 1.687877268182171736e-03
8.787878787878787179e+00 1.525712606850730940e-03
8.888888888888889284e+00 1.379128093365619354e-03
8.989898989898989612e+00 1.246626847920103949e-03
9.090909090909089940e+00 1.126855805078008773e-03
9.191919191919192045e+00 1.018591896650204720e-03
9.292929292929292373e+00 9.207295620664066689e-04
9.393939393939394478e+00 8.322694587016918203e-04
9.494949494949494806e+00 7.523082568708162107e-04
9.595959595959595134e+00 6.800294152796305253e-04
9.696969696969697239e+00 6.146948427351419178e-04
9.797979797979797567e+00 5.556373609659349781e-04
9.898989898989899672e+00 5.022538915853797751e-04
1.000000000000000000e+01 4.539992976248485553e-04
